variant,model,test_roc_auc,test_recall,test_precision,cv_roc_auc,cv_test_gap
full,Random Forest,0.7033575095242185,0.4404304381245196,0.3970893970893971,0.7314261582388097,0.02806864871459125
full,Logistic Regression,0.6717693878021188,0.6110684089162183,0.30683133925125433,0.6678978513162097,-0.0038715364859090995
full,Xgboost,0.669151106628461,0.31360491929285167,0.35447437011294525,0.7064971798495833,0.03734607322112227
full,Mlp,0.7308449738785239,0.12759415833973867,0.515527950310559,0.7368621791557278,0.006017205277203952
full,Gaussian Nb,0.6913310987236514,0.8554957724827056,0.2571032571032571,0.6615178387509479,-0.029813259972703454
baseline,Random Forest,0.5552471240346004,0.2536510376633359,0.26785714285714285,0.5140763704419793,-0.04117075359262112
baseline,Logistic Regression,0.5696775154842413,0.40507302075326673,0.27164948453608245,0.4964312386275056,-0.07324627685673568
baseline,Xgboost,0.4868397038060072,0.19830899308224442,0.22731277533039648,0.4808092304325262,-0.0060304733734810045
baseline,Mlp,0.4469590867760794,0.0,0.0,0.5713082446451441,0.1243491578690647
baseline,Gaussian Nb,0.5652603066958405,0.15757109915449655,0.721830985915493,0.5571059790361612,-0.008154327659679272
full_tuned,Random Forest Tuned,,,,,
full_tuned,Logistic Regression Tuned,,,,,
full_tuned,Mlp Tuned,,,,,
full_circadian,Random Forest,0.6858263054230525,0.4504227517294389,0.3595092024539877,0.715090835528412,0.029264530105359565
full_circadian,Logistic Regression,0.6476980159287,0.5918524212144505,0.28413284132841327,0.6629185935711197,0.015220577642419686
full_circadian,Xgboost,0.6632366365484047,0.3151421983089931,0.33772652388797364,0.6781519267679336,0.014915290219528865
full_circadian,Mlp,0.704111189135285,0.25595695618754805,0.4506089309878214,0.6787943158961887,-0.02531687323909637
full_circadian,Gaussian Nb,0.6703280017257738,0.8255188316679477,0.25817307692307695,0.6737523850510362,0.0034243833252624034
